order_id,customer_name,product,quantity,price,order_date
1,Jenna Foster,Smartphone,4,71.45,2024-12-01
2,Jenna Foster,Keyboard,6,60.28,2024-11-27
3,Melissa Leon,Speaker,2,53.74,2024-08-01
4,Melissa Leon,Printer,2,53.32,2024-02-08
5,Melissa Leon,Smartphone,1,34.43,2024-09-10
6,Melissa Leon,Mouse,9,80.91,2024-06-29
7,Melissa Leon,Keyboard,10,96.99,2024-11-29
8,Melissa Leon,Mouse,2,70.3,2024-12-18
9,Melissa Leon,Earphones,2,30.99,2024-05-27
10,Melissa Leon,Speaker,5,39.21,2024-01-11
11,Melissa Leon,Smartphone,4,39.34,2024-05-09
12,Melissa Leon,Speaker,6,40.76,2024-03-01
13,Melissa Leon,Tablet,7,49.68,2024-04-07
14,Melissa Leon,Printer,8,18.9,2024-05-15
15,Melissa Leon,Mouse,7,22.94,2024-04-17
16,Melissa Leon,Camera,2,46.43,2024-10-28
17,Melissa Leon,USB,3,21.4,2024-03-13
18,Melissa Leon,Camera,4,21.34,2024-11-20
19,Melissa Leon,Laptop,1,17.72,2024-05-10
20,Melissa Leon,Mouse,5,44.82,2024-10-09
21,Melissa Leon,Laptop,7,53.16,2024-06-24
22,Melissa Leon,Printer,9,95.38,2024-01-27
23,Melissa Leon,Keyboard,10,37.76,2024-12-05
24,Melissa Leon,Camera,5,36.89,2024-01-28
25,Melissa Leon,Smartphone,8,59.49,2024-08-28
26,Melissa Leon,Headphones,4,97.68,2024-11-23
27,Melissa Leon,Headphones,5,22.61,2024-01-21
28,Melissa Leon,Earphones,10,14.56,2024-02-09
29,Melissa Leon,Laptop,2,23.8,2024-04-14
30,Melissa Leon,Keyboard,9,99.25,2024-10-16
31,Melissa Leon,Mouse,10,36.22,2024-08-15
32,Melissa Leon,Mouse,5,19.42,2024-02-29
33,Melissa Leon,Printer,6,25.09,2024-09-17
34,Melissa Leon,Smartphone,5,49.15,2024-09-11
35,Melissa Leon,Laptop,5,83.15,2024-05-29
36,Melissa Leon,Headphones,4,16.86,2024-07-21
37,Melissa Leon,Laptop,6,95.48,2024-10-14
38,Melissa Leon,USB,1,12.73,2024-12-17
39,Melissa Leon,Keyboard,9,70.02,2024-11-15
40,Melissa Leon,Mouse,1,26.11,2024-07-06
41,Melissa Leon,Earphones,2,28.71,2024-05-18
42,Melissa Leon,Keyboard,9,48.45,2024-05-26
43,Rachel Mclean,Keyboard,7,23.12,2024-12-16
44,Rachel Mclean,USB,4,71.28,2024-09-15
45,Rachel Mclean,Tablet,7,46.66,2024-07-02
46,Rachel Mclean,Smartphone,9,66.44,2024-03-16
47,Rachel Mclean,USB,10,93.5,2024-09-12
48,Rachel Mclean,Speaker,7,55.31,2024-05-30
49,Rachel Mclean,Keyboard,9,51.43,2024-12-21
50,Rachel Mclean,Printer,10,33.87,2024-09-27
51,Rachel Mclean,Headphones,4,33.16,2024-06-11
52,Rachel Mclean,Earphones,10,23.71,2024-05-08
53,Rachel Mclean,Printer,6,85.84,2024-09-27
54,Rachel Mclean,Laptop,7,36.86,2024-11-05
55,Rachel Mclean,Headphones,9,76.3,2024-04-09
56,Rachel Mclean,Camera,3,87.86,2024-06-21
57,Rachel Mclean,Keyboard,10,44.14,2024-12-12
58,Rachel Mclean,Speaker,2,65.53,2024-03-24
59,Rachel Mclean,Smartphone,2,93.04,2024-04-12
60,Rachel Mclean,Headphones,1,40.78,2024-11-22
61,Rachel Mclean,Camera,10,58.54,2024-12-20
62,Rachel Mclean,Tablet,8,25.01,2024-08-15
63,Rachel Mclean,Headphones,8,29.0,2024-09-18
64,Rachel Mclean,Camera,8,91.44,2024-10-09
65,Rachel Mclean,Laptop,6,84.11,2024-02-15
66,Rachel Mclean,Tablet,4,47.93,2024-05-15
67,Rachel Mclean,Headphones,6,31.16,2024-06-11
68,Rachel Mclean,Keyboard,9,75.11,2024-10-15
69,Rachel Mclean,Keyboard,5,73.59,2024-08-07
70,Rachel Mclean,Mouse,2,82.1,2024-11-12
71,Rachel Mclean,Camera,3,59.87,2024-03-27
72,Rachel Mclean,Camera,7,19.62,2024-11-29
73,Rachel Mclean,Headphones,3,81.25,2024-02-02
74,Rachel Mclean,Camera,7,65.58,2024-12-17
75,Rachel Mclean,Keyboard,6,54.24,2024-10-19
76,Rachel Mclean,Earphones,5,10.98,2024-03-14
77,Rachel Mclean,Earphones,9,93.33,2024-04-19
78,Rachel Mclean,Keyboard,5,90.24,2024-10-09
79,Rachel Mclean,Camera,1,25.46,2024-03-30
80,Rachel Mclean,Earphones,1,81.03,2024-03-01
81,Rachel Mclean,Speaker,3,94.74,2024-11-22
82,Rachel Mclean,Camera,6,15.78,2024-11-04
83,Rachel Mclean,Camera,3,62.55,2024-05-04
84,Rachel Mclean,Mouse,1,41.78,2024-09-28
85,Rachel Mclean,Smartphone,9,36.04,2024-03-10
86,Rachel Mclean,Headphones,6,89.09,2024-07-02
87,Rachel Mclean,Tablet,2,80.89,2024-02-14
88,Rachel Mclean,Keyboard,4,41.17,2024-07-31
89,Rachel Mclean,Printer,1,27.07,2024-09-17
90,Rachel Mclean,Keyboard,6,67.41,2024-08-27
91,Rachel Mclean,Headphones,1,65.97,2024-06-26
92,Rachel Mclean,Mouse,1,46.86,2024-01-22
93,Rachel Mclean,Camera,10,26.54,2024-05-20
94,Rachel Mclean,Keyboard,6,32.38,2024-11-25
95,Rachel Mclean,Headphones,4,76.7,2024-12-05
96,Rachel Mclean,Camera,6,73.42,2024-11-27
97,Rachel Mclean,Camera,2,83.94,2024-01-11
98,Rachel Mclean,USB,4,30.68,2024-06-26
99,Rachel Mclean,Printer,4,49.58,2024-05-02
100,Rachel Mclean,Printer,4,34.06,2024-06-12
101,Rachel Mclean,Printer,3,40.75,2024-04-02
102,Rachel Mclean,Printer,9,99.45,2024-05-03
103,Rachel Mclean,Laptop,8,67.59,2024-05-20
104,Rachel Mclean,Camera,2,44.47,2024-02-09
105,Rachel Mclean,USB,5,82.7,2024-05-14
106,Rachel Mclean,Camera,7,33.7,2024-10-01
107,Rachel Mclean,Tablet,8,78.49,2024-12-06
108,Rachel Mclean,Earphones,3,49.79,2024-12-14
109,Rachel Mclean,Tablet,6,21.69,2024-01-06
110,Rachel Mclean,USB,10,71.04,2024-10-18
111,Rachel Mclean,Speaker,2,31.57,2024-06-30
112,Rachel Mclean,Smartphone,5,47.36,2024-04-03
113,Rachel Mclean,Speaker,4,26.77,2024-04-20
114,Rachel Mclean,Earphones,3,99.69,2024-01-13
115,Rachel Mclean,Headphones,5,17.17,2024-10-16
116,Rachel Mclean,Laptop,5,42.95,2024-06-16
117,Rachel Mclean,Printer,9,64.6,2024-02-26
118,Rachel Mclean,Mouse,7,59.56,2024-12-16
119,Rachel Mclean,Laptop,5,57.81,2024-11-12
120,Rachel Mclean,USB,9,73.54,2024-03-13
121,Rachel Mclean,Smartphone,2,90.02,2024-10-05
122,Rachel Mclean,Laptop,4,21.7,2024-12-26
123,Rachel Mclean,Printer,6,48.1,2024-01-08
124,Rachel Mclean,Mouse,6,61.16,2024-07-21
125,Rachel Mclean,Mouse,10,12.82,2024-07-21
126,Rachel Mclean,Printer,4,26.6,2024-02-29
127,Rachel Mclean,Laptop,8,14.08,2024-08-29
128,Rachel Mclean,Smartphone,9,66.58,2024-06-04
129,Rachel Mclean,Headphones,7,74.46,2024-09-12
130,Rachel Mclean,Tablet,1,67.86,2024-06-17
131,Rachel Mclean,Printer,8,10.64,2024-02-27
132,Rachel Mclean,Printer,5,58.53,2024-12-13
133,Rachel Mclean,USB,10,20.8,2024-04-22
134,Rachel Mclean,Speaker,6,95.78,2024-09-15
135,Rachel Mclean,USB,4,19.4,2024-10-22
136,Rachel Mclean,Printer,10,54.51,2024-01-19
137,Rachel Mclean,Headphones,5,53.65,2024-06-20
138,Rachel Mclean,Mouse,9,43.55,2024-05-26
139,Rachel Mclean,Headphones,4,12.89,2024-10-13
140,Rachel Mclean,Camera,1,78.33,2024-11-03
141,Ann Reeves,Printer,5,88.96,2024-11-26
142,Ann Reeves,Keyboard,5,14.59,2024-03-18
143,Ann Reeves,Tablet,3,40.22,2024-11-09
144,Ann Reeves,Laptop,10,48.65,2024-05-25
145,Ann Reeves,Speaker,1,51.13,2024-04-14
146,Ann Reeves,Laptop,7,88.41,2024-02-18
147,Ann Reeves,Printer,10,18.47,2024-01-30
148,Ann Reeves,Mouse,7,14.0,2024-02-19
149,Ann Reeves,USB,6,42.03,2024-03-01
150,Ann Reeves,Headphones,10,69.39,2024-11-12
151,Ann Reeves,Speaker,6,41.4,2024-04-24
152,Ann Reeves,Printer,4,13.01,2024-01-13
153,Ann Reeves,Speaker,1,95.66,2024-11-24
154,Ann Reeves,USB,9,82.36,2024-05-26
155,Ann Reeves,Printer,5,90.31,2024-08-24
156,Ann Reeves,Laptop,9,65.05,2024-03-29
157,Ann Reeves,Tablet,3,74.86,2024-05-10
158,Veronica Gentry,Keyboard,8,10.33,2024-02-07
159,Veronica Gentry,Camera,10,31.73,2024-05-21
160,Veronica Gentry,Smartphone,7,75.8,2024-01-24
161,Veronica Gentry,Speaker,7,18.13,2024-05-01
162,Veronica Gentry,Mouse,8,70.3,2024-12-13
163,Veronica Gentry,Earphones,10,41.42,2024-06-12
164,Veronica Gentry,Smartphone,10,74.94,2024-07-01
165,Veronica Gentry,Earphones,3,10.13,2024-06-26
166,Veronica Gentry,Earphones,4,97.27,2024-04-05
167,Veronica Gentry,Tablet,8,40.39,2024-04-02
168,Veronica Gentry,Speaker,8,53.87,2024-04-21
